"No","契約方式","案件番号","案件名称","発注所属","公開日","開札予定日時"
"1","一般競争入札(WTO)/最低価格","20210061651","遠隔操作式架線集材システム","総務事務集中課","令和3年08月06日 令和3年08月27日 10:00","令和3年08月06日 令和3年08月27日 10:00"
"2","一般競争入札（条件付き）/最低価格","20210061944","農林水産総務課　軽乗用自動車","総務事務集中課","令和3年08月06日 令和3年08月26日 10:00","令和3年08月06日 令和3年08月26日 10:00"
"3","一般競争入札（条件付き）/最低価格","20210061954","農業農村整備課　軽乗用自動車","総務事務集中課","令和3年08月06日 令和3年08月26日 10:30","令和3年08月06日 令和3年08月26日 10:30"
"4","一般競争入札（条件付き）/最低価格","20210061752","プロジェクター及びスクリーン（その１）","総務事務集中課","令和3年07月30日 令和3年08月17日 13:30","令和3年07月30日 令和3年08月17日 13:30"
"5","一般競争入札（条件付き）/最低価格","20210061801","プロジェクター及びスクリーン（その２）","総務事務集中課","令和3年07月30日 令和3年08月17日 14:30","令和3年07月30日 令和3年08月17日 14:30"
"6","一般競争入札（条件付き）/最低価格","20210061802","プロジェクター及びスクリーン（その３）","総務事務集中課","令和3年07月30日 令和3年08月17日 15:30","令和3年07月30日 令和3年08月17日 15:30"
"7","一般競争入札（条件付き）/最低価格","20210061962","キャスターパネル","総務事務集中課","令和3年07月30日 令和3年08月18日 13:30","令和3年07月30日 令和3年08月18日 13:30"
"8","一般競争入札（条件付き）/最低価格","20210061860","ＩｏＴ対応監視カメラ","総務事務集中課","令和3年07月28日 令和3年08月18日 10:00","令和3年07月28日 令和3年08月18日 10:00"
"9","一般競争入札（条件付き）/最低価格","20210061770","全自動固相抽出装置","総務事務集中課","令和3年07月27日 令和3年08月17日 11:00","令和3年07月27日 令和3年08月17日 11:00"
"10","一般競争入札（条件付き）/最低価格","20210061783","特別展「きのくにの名宝—和歌山県の国宝・重要文化財—」図録","総務事務集中課","令和3年07月27日 令和3年08月17日 10:00","令和3年07月27日 令和3年08月17日 10:00"
"11","一般競争入札（条件付き）/最低価格","20210061821","南紀白浜空港国際線ターミナルビルＣＩＱエリア備品","総務事務集中課","令和3年07月27日 令和3年08月17日 16:30","令和3年07月27日 令和3年08月17日 16:30"
